created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location,followers_count,Wed Dec 13 08:01:28 +0000 2023,1734845980246503760,Kes covid-19 naik hampir sekali ganda kepada 12 757 kes pada minggu 49 (3 Dis-9 Dis 2023)berbanding minggu 48 (26 Nov-2 Dis 2023) -KP Kesihatan https://t.co/DOI7p1aZx9,91,10,1115,619,in,1060440104672550912,1734845980246503760.1,redzuanNewsMPB,https://twitter.com/redzuanNewsMPB/status/1734845980246503760,https://pbs.twimg.com/media/GBNpAqvbgAApWvO.jpg,"Selangor, Malaysia",62069,Thu Dec 14 13:21:37 +0000 2023,1735288939295191146,Jika ada peluang untuk dapatkan dos penggalak COVID-19  ambillah.,14,4,107,269,177804792,1735288939295191146.1,khairul_hafidz,https://twitter.com/khairul_hafidz/status/1735288939295191146,Unnamed: 12,Malaysia,248165,Fri Dec 15 22:48:34 +0000 2023,1735794001377403229,COVID naik lagi! Ayo Vaksinasi sampai 100 kali!  Lanjutkan kebodohan kalian! https://t.co/32HkDXxu0x,30,179,596,1478,1502822366946402304,1735794001377403229.1,DokterTifa,https://twitter.com/DokterTifa/status/1735794001377403229,https://pbs.twimg.com/media/GBbHchHaoAA___l.jpg,Unnamed: 13,117053,Sun Dec 17 12:01:25 +0000 2023,1736355920014098496,Jumlah kes COVID-19 pada minggu lepas (10-16 Dis) meningkat kepada  20 696 kes berbanding 12 757 pada minggu sebelumnya.,145,1466,1736355920014098496.1,https://twitter.com/redzuanNewsMPB/status/1736355920014098496,62049,Mon Dec 18 13:40:57 +0000 2023,1736743353436565941,covid ternyata 🤣 https://t.co/8fORkqBHjs,7,120,11,159,1666825159,1736743353436565941.1,hafifahlr,https://twitter.com/hafifahlr/status/1736743353436565941,https://pbs.twimg.com/media/GBom3s9aUAAamtR.jpg,jawa timur,11129,Tue Dec 19 11:00:01 +0000 2023,1737065240653914279,Kes COVID dh mula meningkat kan korangg😪maarilah Kita standby stock facemask sesiap😷  Yg duckbill ni selesa dipakai korang..tak lemas bila pakai  tali dia pon x mudah putus🌷 https://t.co/80GZyH5anX,3,1,94,1682971276737122304,1737065240653914279.1,mamadeejaa,https://twitter.com/mamadeejaa/status/1737065240653914279,https://pbs.twimg.com/ext_tw_video_thumb/1737065224199712769/pu/img/wQV1WVzFQeOmg9vl.jpg,620,Wed Dec 20 21:59:48 +0000 2023,1737593668801036525,@cheyfluff Sebelum dan sesudah..😆 https://t.co/SwBUcwkgYj,1.1,9,44,1410227796555620355,1737334520318480489,covid_hater,https://twitter.com/covid_hater/status/1737593668801036525,https://pbs.twimg.com/ext_tw_video_thumb/1737593597573439488/pu/img/Pgzux3cHolpGXWUR.jpg,2791
Tue Dec 12 14:30:41 +0000 2023,1.7345815410982095e+18,#DebatCapres   Paslon 2: Saya gak nanya tentang covid  saya nanya tentang polusi!  Paslon 1: https://t.co/0T2VFlbMGe,413.0,262.0,1912.0,15212.0,in,775011194.0,1.7345815410982095e+18,briankhrisna,https://twitter.com/briankhrisna/status/1734581541098209610,https://pbs.twimg.com/media/GBJ4thVbIAEv-ge.jpg,,363893.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Dec 12 14:38:34 +0000 2023,1.7345835284810015e+18,*anies menggunakan testing covid-19 sebagai analogi untuk angka polusi jakarta yang tinggi akibat alat testing yang lebih banyak daripada daerah lain* prabowo: TAPI PERTANYAAN SAYA BUKAN SOAL COVID!!  i beg you... to have a little bit... of listening comprehension...,1142.0,318.0,4779.0,36541.0,in,3283371582.0,1.7345835284810015e+18,notnorgaard,https://twitter.com/notnorgaard/status/1734583528481001535,,,8847.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Dec 12 15:38:55 +0000 2023,1.734598713652425e+18,Bingung ngga tuhh 🤣 Prabowo: Saya Tidak Tanya Covid  Saya Tanya Polusi   #MemastikanRasaNyaman VisiPakbowo KeadilanYgPasti https://t.co/w7soEpKTPl,44.0,513.0,95.0,372.0,in,8.86878090768425e+17,1.734598713652425e+18,yosephrosario_,https://twitter.com/yosephrosario_/status/1734598713652425008,https://pbs.twimg.com/ext_tw_video_thumb/1734598254938165248/pu/img/wYKg5ggnXMPpakHd.jpg,,14777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Dec 12 09:10:11 +0000 2023,1.7345008860163978e+18,Mohon doa semua  kolega saya Prof Irwanto sedang dirawat di rumah sakit karena Covid-19. Semoga beliau lekas sembuh dan bisa beraktivitas seperti sediakala. Amin. 🤲,6.0,47.0,74.0,414.0,in,1.3195430437755822e+18,1.7345008860163978e+18,ProfesorZubairi,https://twitter.com/ProfesorZubairi/status/1734500886016397792,,,103318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Dec 12 14:00:51 +0000 2023,1.7345740343761065e+18,#TIPS Iya covid lagi naik  tapi tidak perlu parno kakkk. Sebarin ya! 😆  1. Tidur 7–8 jam/hari  berhenti begadang 2. Makanannya bervariasi  banyakin sayur &amp; buah  polanya teratur 3. Olahraga rutin. Hari ini sdh olahraga belom? 4. Cukup minum air mineral. Mulai seringin minum… https://t.co/ublxWo2mfu,1.0,6.0,153.0,282.0,in,978646566.0,1.7345740343761065e+18,afrkml,https://twitter.com/afrkml/status/1734574034376106404,,,322703.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Dec 12 13:48:23 +0000 2023,1.7345708965962875e+18,Sebenarnya ada satu perasaan sebak bila kita makan kat satu kedai  tiba-tiba yang jadi pelayan tu kawan kita masa sekolah dulu.  Teringat zaman di asrama dulu.  Kesan Covid dulu  ramai hilang pekerjaan dan sanggup buat apa je untuk rezeki keluarganya.  Allah yuftah alaikum.,30.0,7.0,256.0,1187.0,in,198424307.0,1.7345708965962875e+18,acaiijawa,https://twitter.com/acaiijawa/status/1734570896596287516,,Shah Alam,83354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Dec 12 17:40:02 +0000 2023,1.734629193743487e+18,Aku ketika diancam resesi dan covid gelombang 2:  https://t.co/jX0hBP4SA4,0.0,1.0,5.0,4.0,in,1.483808209152639e+18,1.734629193743487e+18,bbbbagad,https://twitter.com/bbbbagad/status/1734629193743487082,https://pbs.twimg.com/ext_tw_video_thumb/1734602891519000576/pu/img/OVlmIKribC1wX2bU.jpg,,149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Dec 12 13:57:01 +0000 2023,1.7345730711751603e+18,After 3 years  covid ni apesal datang balik?? Mcm bodo,0.0,1.0,2.0,2.0,in,1433122435.0,1.7345730711751603e+18,fatinshirazali,https://twitter.com/fatinshirazali/status/1734573071175160286,,Ashraff heart,585.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Dec 12 10:03:07 +0000 2023,1.7345142091937096e+18,Bukan hanya sebatas gagasan tapi janji politik lunas saat di hajar Covid 19 https://t.co/NPHKrftE7R,1.0,0.0,84.0,212.0,in,1.456283686312104e+18,1.7345142091937096e+18,Yurissa_Samosir,https://twitter.com/Yurissa_Samosir/status/1734514209193709617,https://pbs.twimg.com/ext_tw_video_thumb/1734514028360437760/pu/img/b0cC2xeu4fWajRNX.jpg,,22490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Dec 12 10:37:20 +0000 2023,1.7345228180359619e+18,Jdi PEMIMPIN itu Gak Perlu Jdi GEMOY🤣 Dan Gak Perlu PENCITRAAN Main TIKTOK😁 Dan Gak Perlu JOGET GEMOY🤣 Dan Gak Perlu LARI2 Antar Provinsi Bro😁 Contohlah PAK ANIES Bro ANIES Bukan sebatas GAGASAN Tapi sudah DIKERJAKAN👍👍 Semua JANJI Politik LUNAS Padahal DIHAJAR Covid Bro👍👍 https://t.co/IWks8FRIeo,1.0,1.0,14.0,24.0,in,1.685182301800657e+18,1.7345228180359619e+18,Azri_Ardhani,https://twitter.com/Azri_Ardhani/status/1734522818035961936,https://pbs.twimg.com/ext_tw_video_thumb/1734522611491819520/pu/img/6eWgdiXxBMo6ng8M.jpg,,557.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
