"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location","followers_count"
"Sat Dec 16 10:59:55 +0000 2023","1735978051522195558","Ikan singgang lah  Halia lah  lengkuas lah..  Takde kajian yang membuktikan ia boleh menawar penyakit Covid-19.  Ia boleh menawar satu benda je. Penyakit lapar","29","15","1273","2984","in","65867767","1735978051522195558","HausofHilton","https://twitter.com/HausofHilton/status/1735978051522195558","","Kuala Lumpur, Malaysia","153295"
"Sat Dec 16 10:48:19 +0000 2023","1735975134412857428","NGENZI muri COVID-19 yakubise umupolisi kubera ko atambaye agapfukamunwa neza😂😂 https://t.co/6o3lYPH5yW","0","8","22","43","in","1629227066942971905","1735975134412857428","dremo_rw","https://twitter.com/dremo_rw/status/1735975134412857428","https://pbs.twimg.com/media/GBdsLvlXEAAl5cF.jpg","KUMAZI","1614"
"Sat Dec 16 07:10:34 +0000 2023","1735920333964857444","Lo ji mera COVID Selfie 🤳🙊😍🫶 https://t.co/OHD4E0dbsg","3","44","8","177","in","979541942118662144","1735920333964857444","Sumi_Scorpio","https://twitter.com/Sumi_Scorpio/status/1735920333964857444","https://pbs.twimg.com/media/GBc6VxNbQAAxeN0.jpg","Out of ur reach 😈","12577"
"Sat Dec 16 07:34:21 +0000 2023","1735926321094771069","Dr. Peter McCullough "WHO TELAH MENIPU DUNIA  SERANGAN JANTUNG DISEBABKAN OLEH VAKSIN COVID-19"  Selanjutnya Simak Penjelasannya di 👇👇👇👇 https://t.co/Tp9vOuBBSE  Download dan Sebarkan Jika Anda Melawan Plandemik Inj. https://t.co/Cwzkpk4NK2","5","5","164","226","in","75519742","1735926321094771069","Nicho_Silalahi","https://twitter.com/Nicho_Silalahi/status/1735926321094771069","https://pbs.twimg.com/ext_tw_video_thumb/1735924960349298688/pu/img/KnfGvcQ4EuIaKv8b.jpg","Indonesia","85442"
"Sat Dec 16 05:04:51 +0000 2023","1735888698703773862","ni knp pada demam demam lg deh covid kah","1","5","1","19","in","1528313011051515905","1735888698703773862","vesicaafellea","https://twitter.com/vesicaafellea/status/1735888698703773862","","","19379"
"Sat Dec 16 14:25:16 +0000 2023","1736029730569334788","Ucapan #MulutManisAnies saat debat capres mengenai IKN : pembangunan IKN hrs dibahas di ruang publik  utamakan keadilan &amp; keberpihakan.🤔  Pdhl anies mengadakan Formula E ditengah pandemi covid  &amp; commitment fee disetor sblm APBD disahkan.😄  Keberpihakan mbahmu  mumet ndasmu. 😄 https://t.co/s5Uvh6z4i7","2","142","62","213","in","1659863813502693376","1736029730569334788","Ryan_Fighter7","https://twitter.com/Ryan_Fighter7/status/1736029730569334788","https://pbs.twimg.com/ext_tw_video_thumb/1736029593558306816/pu/img/e1hAc8SjeaBvDdkI.jpg","moskov","682"
"Sat Dec 16 06:04:31 +0000 2023","1735903713997557831","Sakit jugak Covid kalini  jangan lupa pakai mask kawan-kawan","0","23","3","30","in","1341395357239021573","1735903713997557831","qir4ni","https://twitter.com/qir4ni/status/1735903713997557831","","Cyberjaya","1698"
"Sat Dec 16 09:43:02 +0000 2023","1735958707014684991","Salam covid kali ke 3","0","5","0","6","in","1307207735813890049","1735958707014684991","ohdamnlily","https://twitter.com/ohdamnlily/status/1735958707014684991","","","50467"
"Sat Dec 16 04:31:44 +0000 2023","1735880362398781574","KENYATAAN MEDIA MENTERI DI JABATAN PERDANA MENTERI (HAL EHWAL AGAMA) BERKAITAN SARANAN MENGAMBIL LANGKAH BERJAGA-JAGA DALAM MENGHADAPI PENINGKATAN KES COVID-19 https://t.co/AoUV4TBj9H","6","5","97","142","in","1600303368823787523","1735880362398781574","DSDrNaim","https://twitter.com/DSDrNaim/status/1735880362398781574","https://pbs.twimg.com/media/GBcV_HdbYAA_1l8.jpg","Putrajaya, Wilayah Persekutuan","5113"
"Sat Dec 16 22:52:16 +0000 2023","1736157324040139143","Ayo pak @aniesbaswedan bongkar PANDEMI ALAT TES (PCR) YG MEMANG TIDAK BISA MENENTUKAN SESEORANG TERINFEKSI COVID-19 TAPI DIJADIKAN GOLDEN STANDART OLEH @KemenkesRI KARNA ADA BISNIS DISITU !?","2","7","74","146","in","1633843478638784522","1736157324040139143","BabehAldoAje135","https://twitter.com/BabehAldoAje135/status/1736157324040139143","","Jakarta, Indonesia","4947"
