"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location","followers_count"
"Tue Dec 05 14:52:47 +0000 2023","1732050391699963975","Terima kasih  salam hormat kami kepada seluruh ulama Aceh yang telah menerima saya dan memberikan kepercayaan kepada AMIN (Anies-Muhaimin) untuk bisa mewujudkan perubahan.   Ini penghormatan  penghargaan sekaligus kepercayaan yang harus saya emban dengan mas Anies sehingga… https://t.co/V9aEOROgek","14","63","1058","3174","in","1490116879","1732050391699963975","cakimiNOW","https://twitter.com/cakimiNOW/status/1732050391699963975","https://pbs.twimg.com/amplify_video_thumb/1732050292185915392/img/0C7uVSBj3Wj7T8kf.jpg","Indonesia","324704"
"Tue Dec 05 21:33:29 +0000 2023","1732151230917390548","Yang bilang Pak Anies intoleran  coba simak baik-baik video ini. Masih tega bilang beliau intoleran?🥲 https://t.co/zX1tPEUoNO","2","3","150","251","in","1641093904236969992","1732151230917390548","AbdulRachimmks","https://twitter.com/AbdulRachimmks/status/1732151230917390548","https://pbs.twimg.com/ext_tw_video_thumb/1732151038029987841/pu/img/So6KnkUYFr2ibhlZ.jpg","Kota Makassar, Sulawesi Selata","4732"
"Tue Dec 05 16:23:39 +0000 2023","1732073254985363738","IKN BUKAN VISI MISI JOKOWI  ANIES MAU MELANJUTKAN ?   Prof. Sulfikar Amir  PhD Selengkapnya di https://t.co/Aw6nLSlDSs https://t.co/hPjeUreNPQ","2","9","191","415","in","1068371293290946561","1732073254985363738","BosPurwa","https://twitter.com/BosPurwa/status/1732073254985363738","https://pbs.twimg.com/amplify_video_thumb/1732073051570032640/img/DCSP-H-sOlr5IuyN.jpg","Warteg","74618"
"Tue Dec 05 23:26:12 +0000 2023","1732179595955429558","Keren ya...  Ilmu marketing dan teknik branding ini wajib dipakai dikehidupan sehari juga guys...   Suruh audiens menyebutkan brand  bukan orator yg menyebut brand itu sendiri. Semoga bermanfaat ilmu dari pak Anies ini...   #AniesMuhaimin2024  #AMINAjaDulu https://t.co/smGf0O16Ye","4","17","166","534","in","1132425764622675969","1732179595955429558","BangPino__","https://twitter.com/BangPino__/status/1732179595955429558","https://pbs.twimg.com/ext_tw_video_thumb/1732179505991827456/pu/img/ygf5Jw8UGUb0ZCjh.jpg","London, England","29557"
"Tue Dec 05 23:34:36 +0000 2023","1732181710886892015","Benarkah mantan Gubernur Sumut itu Gerindra? Tapi Kenapa justeru ke Anies? https://t.co/XTaoaPSeyA","0","6","84","216","in","380347823","1732181710886892015","ShamsiAli2","https://twitter.com/ShamsiAli2/status/1732181710886892015","https://pbs.twimg.com/ext_tw_video_thumb/1732181642008039424/pu/img/hMoBPav_xP7-zgVP.jpg","New York, USA","80583"
"Tue Dec 05 13:44:03 +0000 2023","1732033091617858034","Indonesia negeri yang harusnya sejahtera  #fypシ゚viral #nelayan #petani #guru #amin #anies #AniesMuhaimin2024 https://t.co/8XXfac1lgc","2","4","152","269","in","836539655478624258","1732033091617858034","aniesmania","https://twitter.com/aniesmania/status/1732033091617858034","https://pbs.twimg.com/ext_tw_video_thumb/1732031943997534208/pu/img/VoVYO9nPFGAeKOdt.jpg","","50153"
"Tue Dec 05 13:15:19 +0000 2023","1732025861421891744","Di wawancara Pak Anies sama Pak Dino di CIFP  dia ditanya tentang IKN  jawabannya mending duitnya buat transportasi umum se-Indonesia.   That might move the needle","44","3","260","1094","in","63411122","1732025861421891744","tikorestuadhi","https://twitter.com/tikorestuadhi/status/1732025861421891744","","your body, my wonderland","1049"
"Tue Dec 05 14:06:31 +0000 2023","1732038745367699807","Saat ditanya mengenai apakah capres nomor urut 1 @aniesbaswedan akan tunduk pada ketua partai-partai pengusungnya  Anies menegaskan dalam mengambil keputusan dirinya akan berdasarkan pada keadilan  kepentingan umum  fakta data  dan aturan hukum.   Download #MetroTVXtend di Play… https://t.co/TUDsFsakfW","1","215","134","288","in","57261519","1732038745367699807","Metro_TV","https://twitter.com/Metro_TV/status/1732038745367699807","https://pbs.twimg.com/ext_tw_video_thumb/1732038631009968128/pu/img/-FumepQUolbPmV1c.jpg","","11054365"
"Tue Dec 05 22:05:31 +0000 2023","1732159289756922162","Oren Manies... Orang keren menangkan Pak Anies...1️⃣☝️🇮🇩😍  ..morning vibes 💚 https://t.co/orLX5j4nvZ","0","2","6","39","in","1052339653","1732159289756922162","siregar_najeges","https://twitter.com/siregar_najeges/status/1732159289756922162","https://pbs.twimg.com/ext_tw_video_thumb/1732159249613238273/pu/img/Cejwaq1kw4SIR9nf.jpg","Indonesia🇮🇩","15594"
"Tue Dec 05 16:25:37 +0000 2023","1732073753117606182","Insha Allah 2024 Didalam Bilik suara gua bakal Pilih @aniesbaswedan  Perlu digaris bawahi Gua Pilih PRESIDEN Bukan Pilih "TUHAN" jadi ketika ada kesalahan &amp; kekeliruan   dari beliau baik masa kampanye atau saat menjabat nanti gua Tidak segan segan untuk mengkritisi ANIES  NIGHT🙏","17","97","289","1347","in","1133311906976952320","1732073753117606182","Catatan_ali7","https://twitter.com/Catatan_ali7/status/1732073753117606182","","Klaten, Jawa Tengah","23284"
