"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location","followers_count"
"Tue Dec 12 22:15:34 +0000 2023","1734698536170893629","Klasemen  1. Anies Muhaimin 2. Prabowo Gibran 3. Ganjar Mahfud 4. Manchester United","132","156","966","4460","in","1222927522033094656","1734698536170893629","idextratime","https://twitter.com/idextratime/status/1734698536170893629","","","903187"
"Tue Dec 12 22:05:05 +0000 2023","1734695898406670458","Dalam debat Capres tadi malam  saya coba mamahami kenapa sikap pak @prabowo yg sering menyerang dan emosional  krn beliau memposisikan diri sbg penyanjung Jokowi dan pelindung Gibran shg rasionalitas dan akal sehatnya hilang.","24","146","642","2429","in","1117990249806721024","1734695898406670458","msaid_didu","https://twitter.com/msaid_didu/status/1734695898406670458","","","754213"
"Tue Dec 12 23:02:46 +0000 2023","1734710414351413336","((( SEMANGAT ANAK MUDA )))  Klo dilihat gesture mas Gibran sptnya beliau paling antusias thd acara DEBAT dan tdk takut thd siapapun lawan debatnya.  Kamu pasti ngga sabar melihat penampilannya didebat cawapres nanti kan...??? 😁 https://t.co/ra2V00fGF8","42","404","302","985","in","1466651308102877187","1734710414351413336","papa_loren","https://twitter.com/papa_loren/status/1734710414351413336","https://pbs.twimg.com/ext_tw_video_thumb/1734710350787072000/pu/img/9h3BJz_-nKLcJgQQ.jpg","~#","33219"
"Tue Dec 12 23:13:05 +0000 2023","1734713008180572633",""Jadi kepo neh  Apa ini Mas Gibran lagi ngemut blimbing sayur?" 😱 https://t.co/bbpXJvoKBX","2","17","39","66","in","1375462822285516820","1734713008180572633","B1nt4ng_K1r4r4","https://twitter.com/B1nt4ng_K1r4r4/status/1734713008180572633","https://pbs.twimg.com/media/GBLwSbFbcAAbRgM.jpg","Central Java, Indonesia","6919"
"Tue Dec 12 22:37:09 +0000 2023","1734703966598893620","Bocil @gibran_tweet tantrum 😂😂🤭 Jadwal debat cawapres 10 hari lagi Jum'at 22 Desember 2023  Siap2 lihat bocil gagap 😂🤭 https://t.co/kWl0oum91k","21","170","168","452","in","929287558281830400","1734703966598893620","yaniarsim","https://twitter.com/yaniarsim/status/1734703966598893620","https://pbs.twimg.com/ext_tw_video_thumb/1734703936970592256/pu/img/dzVYQU9URN458ojp.jpg","Indonesia","35359"
"Tue Dec 12 23:58:02 +0000 2023","1734724321606820141","GIBRAN ANAK MAMI SURI | KONSTITUSI MATI SURI |   Ironisnya  kualitas bung @Fahrihamzah jauh  jauh &amp; jauh lebih baik  daripada anak haram konstitusi.  Namun  kelebihan Gibran • si Anak Mami Suri  yang sekaligus "Anak Haram Konstitusi" itu  adalah ;  1. Gibran pengen menggenggam… https://t.co/9dxEVwa0xR","7","34","215","460","in","1159689173340585984","1734724321606820141","__AnakKolong","https://twitter.com/__AnakKolong/status/1734724321606820141","https://pbs.twimg.com/ext_tw_video_thumb/1734723795079032832/pu/img/e2KYgXgdJLl2gulO.jpg","Wherever you're not lookin'","76537"
"Tue Dec 12 22:47:41 +0000 2023","1734706619076727146","Umur Alam jauh lebih muda daripada Gibran. Tapi menurut aku  Alam jauh lebih elegant. Bandingkan gesture Gibran dengan Alam.. https://t.co/RrlntmCkCI","1","10","24","108","in","3232064515","1734706619076727146","asditangerang","https://twitter.com/asditangerang/status/1734706619076727146","https://pbs.twimg.com/ext_tw_video_thumb/1734706525388808192/pu/img/mpfCxQFxgfYmnuZm.jpg","Tangerang, Indonesia","1103"
"Tue Dec 12 23:01:28 +0000 2023","1734710084607877353","@abu_waras @gibran_tweet Awokawokawokawok https://t.co/LqmYbN7QoK","1","1","3","5","pl","1707161719616028672","1734602260066517274","AsikinAja2000","https://twitter.com/AsikinAja2000/status/1734710084607877353","https://pbs.twimg.com/ext_tw_video_thumb/1734710047027220480/pu/img/9OpaqouKaXvoEM5h.jpg","","257"
"Tue Dec 12 23:30:09 +0000 2023","1734717304414617859","Ditunggu Gibran vs Mahfud😉😉😉 #AniesPresiden2024 https://t.co/NyV0szUMzq","0","2","11","22","in","1428002673815482369","1734717304414617859","AiraNtieReal","https://twitter.com/AiraNtieReal/status/1734717304414617859","https://pbs.twimg.com/ext_tw_video_thumb/1734717044418101248/pu/img/jYISB-_3QXORF0yl.jpg","di hatimu yank👩‍❤️‍👨💍","4645"
"Tue Dec 12 23:12:03 +0000 2023","1734712750075691244","Di debat justru sangat kasihan pada Pak Prabowo.  Tugasnya sangat berat. Wajar jika beliau emosi.   Beliau berupaya menyampaikan visi &amp; misinya  menyampakian keberhasilan program Pak Jokowi  dan melindungi Gibran dari serangan. Waktu mengucapkan hanya sedikit.  Wajar jika emosi","2","9","14","56","in","1372686617471688705","1734712750075691244","saidi_sudarsono","https://twitter.com/saidi_sudarsono/status/1734712750075691244","","","7648"
